"year","SASAP.Region","species","p_conf","sector","source_report","harvest"
1975,"Alaska Peninsula and Aleutian Islands","chinook",NA,"Commercial","Report",2210
1975,"Alaska Peninsula and Aleutian Islands","chum",NA,"Commercial","Report",141401
1975,"Alaska Peninsula and Aleutian Islands","coho",NA,"Commercial","Report",28416
1975,"Alaska Peninsula and Aleutian Islands","pink",NA,"Commercial","Report",61596
1975,"Alaska Peninsula and Aleutian Islands","sockeye",NA,"Commercial","Report",496243
1975,"Bristol Bay","chinook",0,"Commercial",NA,29917
1975,"Bristol Bay","chum",0,"Commercial",NA,323164
1975,"Bristol Bay","coho",0,"Commercial",NA,46271
1975,"Bristol Bay","pink",0,"Commercial",NA,411
1975,"Bristol Bay","sockeye",0,"Commercial",NA,4842246
1975,"Chignik","chinook",0,"Commercial",NA,549
1975,"Chignik","chum",0,"Commercial",NA,25161
1975,"Chignik","coho",0,"Commercial",NA,52667
1975,"Chignik","pink",0,"Commercial",NA,66165
1975,"Chignik","sockeye",0,"Commercial",NA,399593
1975,"Cook Inlet","chinook",0,"Commercial",NA,4877
1975,"Cook Inlet","chum",0,"Commercial",NA,952868
1975,"Cook Inlet","coho",0,"Commercial",NA,228623
1975,"Cook Inlet","pink",0,"Commercial",NA,1263145
1975,"Cook Inlet","sockeye",0,"Commercial",NA,706358
1975,"Copper River","chinook",NA,"Commercial","Report",19806
1975,"Copper River","chum",NA,"Commercial","Report",807
1975,"Copper River","coho",NA,"Commercial","Report",77967
1975,"Copper River","pink",NA,"Commercial","Report",236
1975,"Copper River","sockeye",NA,"Commercial","Report",357021
1975,"Kodiak","chinook",NA,"Commercial","Report",101
1975,"Kodiak","chum",NA,"Commercial","Report",84431
1975,"Kodiak","coho",NA,"Commercial","Report",23659
1975,"Kodiak","pink",NA,"Commercial","Report",2942801
1975,"Kodiak","sockeye",NA,"Commercial","Report",136418
1975,"Kotzebue","chum",NA,"Commercial","Report",563345
1975,"Kotzebue","pink",0,"Commercial",NA,0
1975,"Kuskokwim","chinook",NA,"Commercial","Report",28219
1975,"Kuskokwim","chum",NA,"Commercial","Report",225308
1975,"Kuskokwim","coho",NA,"Commercial","Report",110576
1975,"Kuskokwim","pink",NA,"Commercial","Report",915
1975,"Kuskokwim","sockeye",NA,"Commercial","Report",17705
